iter	Passed	Remaining
897	9948	2282
898	9961	2271
899	9973	2260
900	9985	2249
901	9998	2239
902	10009	2228
903	10022	2217
904	10032	2206
905	10043	2194
906	10053	2183
907	10064	2172
908	10074	2161
909	10085	2150
910	10096	2139
911	10108	2128
912	10119	2117
913	10129	2105
914	10139	2094
915	10149	2083
916	10160	2072
917	10170	2060
918	10181	2049
919	10191	2038
920	10203	2027
921	10215	2016
922	10227	2005
923	10237	1994
924	10247	1983
925	10258	1971
926	10270	1960
927	10279	1949
928	10289	1938
929	10299	1927
930	10309	1915
931	10320	1904
932	10332	1893
933	10344	1882
934	10354	1871
935	10364	1860
936	10375	1849
937	10385	1837
938	10395	1826
939	10406	1815
940	10416	1804
941	10429	1793
942	10440	1782
943	10450	1771
944	10461	1760
945	10471	1749
946	10482	1737
947	10494	1726
948	10504	1715
949	10515	1704
950	10526	1693
951	10538	1682
952	10549	1671
953	10559	1660
954	10569	1649
955	10580	1637
956	10591	1626
957	10601	1615
958	10613	1604
959	10624	1593
960	10634	1582
961	10649	1571
962	10659	1560
963	10670	1549
964	10680	1538
965	10691	1527
966	10701	1516
967	10712	1505
968	10723	1493
969	10734	1482
970	10744	1471
971	10757	1460
972	10768	1449
973	10778	1438
974	10789	1427
975	10800	1416
976	10810	1405
977	10820	1394
978	10831	1382
979	10842	1371
980	10854	1360
981	10865	1349
982	10876	1338
983	10887	1327
984	10898	1316
985	10909	1305
986	10921	1294
987	10932	1283
988	10942	1272
989	10953	1261
990	10963	1250
991	10976	1239
992	10986	1228
993	10996	1216
994	11006	1205
995	11018	1194
996	11028	1183
997	11039	1172
998	11049	1161
999	11060	1150
1000	11071	1139
1001	11084	1128
1002	11097	1117
1003	11111	1106
1004	11124	1095
1005	11136	1084
1006	11147	1073
1007	11160	1062
1008	11172	1051
1009	11184	1040
1010	11196	1029
1011	11206	1018
1012	11217	1007
1013	11233	997
1014	11245	986
1015	11255	974
1016	11265	963
1017	11277	952
1018	11289	941
1019	11300	930
1020	11311	919
1021	11322	908
1022	11333	897
1023	11343	886
1024	11354	875
1025	11365	864
1026	11375	852
1027	11385	841
1028	11398	830
1029	11409	819
1030	11420	808
1031	11430	797
1032	11441	786
1033	11451	775
1034	11461	764
1035	11471	752
1036	11482	741
1037	11493	730
1038	11504	719
1039	11517	708
1040	11528	697
1041	11540	686
1042	11554	675
1043	11566	664
1044	11577	653
1045	11589	642
1046	11601	631
1047	11614	620
1048	11627	609
1049	11639	598
1050	11650	587
1051	11661	576
1052	11672	565
1053	11684	554
1054	11695	543
1055	11706	532
1056	11720	521
1057	11732	510
1058	11743	499
1059	11756	487
1060	11769	476
1061	11780	465
1062	11792	454
1063	11804	443
1064	11815	432
1065	11829	421
1066	11841	410
1067	11853	399
1068	11864	388
1069	11876	377
1070	11888	366
1071	11900	355
1072	11912	344
