iter	MAE	RMSE
456	0.6124645585	0.8130167398
457	0.612304001	0.8128109115
458	0.6122414	0.8127202274
459	0.612121825	0.8126482909
460	0.6120906253	0.8125539008
461	0.6120230963	0.8124573298
462	0.6119136112	0.8123204727
463	0.611838833	0.812237159
464	0.6117980962	0.812216189
465	0.611769948	0.8121461496
466	0.6117165103	0.8120520298
467	0.6116144352	0.8119101878
468	0.6115167972	0.8118108907
469	0.6114538242	0.8117736593
470	0.6114471706	0.8117595752
471	0.6112596286	0.8116066745
472	0.6111954748	0.8115639609
473	0.6111343751	0.811489468
474	0.6111179867	0.8114825321
475	0.6110959054	0.8114465616
476	0.6109974754	0.8113212055
477	0.6109563328	0.8112622251
478	0.6107995163	0.8111771197
479	0.6107425761	0.8110984352
480	0.6106716938	0.8110210297
481	0.6104994016	0.8108506121
482	0.610420097	0.8107943969
483	0.610390959	0.8107516815
484	0.6103621737	0.8107051461
485	0.6102993687	0.8105875313
486	0.6102624247	0.8105232042
487	0.6102391738	0.8104979779
488	0.6100882679	0.8103627491
489	0.6100360892	0.810293508
490	0.6100110952	0.8102277429
491	0.6099285491	0.8101400751
492	0.6099058908	0.8101348668
493	0.6098804924	0.8101151671
494	0.6098308354	0.8100341959
495	0.6097475549	0.8099709007
496	0.6097286768	0.8099335872
497	0.6096786702	0.8098523749
498	0.6096218478	0.8098004575
499	0.6095463146	0.8097378132
500	0.6094848695	0.8096954543
501	0.6094063883	0.8096130878
502	0.6093792485	0.8095941661
503	0.6092794562	0.8095328339
504	0.609160794	0.809420604
505	0.6091183477	0.8093357124
506	0.609078489	0.8092885361
507	0.608954339	0.8092069796
508	0.6089283659	0.8091788214
509	0.6088772631	0.8091329216
510	0.6087751632	0.8088941503
511	0.6087230043	0.8088548262
512	0.6086496475	0.808722405
513	0.6086456738	0.8087158952
514	0.6085977295	0.808677509
515	0.6085562616	0.808631164
516	0.6085559448	0.8086310738
517	0.608485355	0.8085488783
518	0.6084227747	0.8084694807
519	0.6083682716	0.8083928613
520	0.6083381375	0.8083562788
521	0.6081005819	0.8082082076
522	0.6080250722	0.8081294036
523	0.6079859385	0.8080795232
524	0.6079278322	0.8079852256
525	0.6077053023	0.8078600119
526	0.6077103121	0.8077881848
527	0.6075421311	0.8076836588
528	0.6074457412	0.8076121755
529	0.6074308744	0.8075955291
530	0.607375215	0.8075433499
531	0.6072969482	0.8074638275
532	0.607169704	0.8073736777
533	0.6071615544	0.8073672676
534	0.6071599553	0.8073617483
535	0.6071301597	0.8073395215
536	0.6071197893	0.8073164947
537	0.6071003656	0.8073028285
538	0.6070650511	0.8072535749
539	0.6069947551	0.807135595
540	0.6069729714	0.8071050264
541	0.606913402	0.8069599772
542	0.6068386555	0.8068695918
543	0.6067241482	0.8067854404
544	0.6066879361	0.8067669692
545	0.6066168579	0.8067231582
546	0.6065818438	0.8066916736
547	0.6064710957	0.8065960354
548	0.6064122324	0.8065299201
549	0.6063670214	0.8065028864
550	0.6063293646	0.8064706839
551	0.6062946238	0.8063832841
552	0.6062169715	0.8063365551
553	0.6061723609	0.8063149586
554	0.6061462913	0.8062438722
555	0.6061162017	0.8062272075
556	0.6060599772	0.8061835254
557	0.6059968631	0.8061411335
558	0.6059419457	0.8060627969
559	0.6058947696	0.8060046118
560	0.6058944947	0.806004497
561	0.6058715767	0.8059702049
562	0.6057126543	0.8058017347
563	0.6056957375	0.8057728661
564	0.6056538686	0.8057368032
565	0.6055914809	0.8056667494
566	0.6055887613	0.8056656276
567	0.6055855239	0.8056573376
568	0.605583853	0.8056520158
569	0.6055216598	0.8055715178
570	0.6054773191	0.8055575742
571	0.6054440248	0.8055055284
572	0.6054177246	0.8054787973
573	0.6054120399	0.8054652915
574	0.6053972553	0.8054148466
575	0.6052827849	0.8053220928
576	0.6052196915	0.8052108601
577	0.605117489	0.8050708639
578	0.6050870788	0.8050100062
579	0.6050207583	0.8049508987
580	0.6048544139	0.8047826924
581	0.6048527396	0.8047774489
582	0.6047492117	0.8047293735
583	0.6047123835	0.8046660038
584	0.6046738701	0.8046010141
585	0.6045317775	0.8043316003
586	0.6043099796	0.8041551495
587	0.6042743786	0.8041185293
588	0.6042031817	0.8040699105
589	0.6041386866	0.8039820348
590	0.6041387812	0.8039813656
591	0.6041352592	0.8039753839
592	0.6041335448	0.8039702179
593	0.604096896	0.8039326176
594	0.6040516254	0.8038999481
595	0.6040406136	0.803869878
596	0.6040140441	0.803856189
597	0.6040025237	0.8038094911
598	0.6040008398	0.8038044416
599	0.6039381284	0.8037465336
600	0.6039017768	0.8036806798
601	0.6038425459	0.8036417617
602	0.6037576356	0.8035684462
603	0.6037559696	0.8035634753
604	0.6037012847	0.8035092947
